Datum;Sat;Energija;Cijena;Status ukljucivanja
18.08.2025;17;344,28;72,6;True
18.08.2025;18;205,528;98,44;True
18.08.2025;19;74,656;115,59;True
18.08.2025;20;14,076799999999999;178,47;True
18.08.2025;21;0,0;205,71;True
18.08.2025;22;0,0;124,87;True
18.08.2025;23;0,0;106,55;True
18.08.2025;24;0,0;99,0;True
19.08.2025;1;0,0;100,23;True
19.08.2025;2;0,0;93,03;True
19.08.2025;3;0,0;86,57;True
19.08.2025;4;0,0;84,39;True
19.08.2025;5;0,0;87,65;True
19.08.2025;6;0,0912;99,85;True
19.08.2025;7;15,1216;108,5;True
19.08.2025;8;107,19359999999999;108,1;True
19.08.2025;9;253,35999999999999;98,05;True
19.08.2025;10;388,87199999999996;88,57;True
19.08.2025;11;478,544;69,64;True
19.08.2025;12;487,67359999999996;43,23;True
19.08.2025;13;487,69759999999997;29,88;True
19.08.2025;14;487,4416;37,98;True
19.08.2025;15;487,4176;42,49;True
19.08.2025;16;378,8464;57,55;True
19.08.2025;17;346,7776;75,32;True
19.08.2025;18;208,992;107,88;True
19.08.2025;19;68,68960000000001;125,28;True
19.08.2025;20;8,504;182,02;True
19.08.2025;21;0,0;166,56;True
19.08.2025;22;0,0;115,25;True
19.08.2025;23;0,0;104,4;True
19.08.2025;24;0,0;97,96;True
20.08.2025;1;0,0;96,21;True
20.08.2025;2;0,0;91,25;True
20.08.2025;3;0,0;85,72;True
20.08.2025;4;0,0;83,78;True
20.08.2025;5;0,0;87,43;True
20.08.2025;6;0,0176;96,23;True
20.08.2025;7;15,52;108,36;True
20.08.2025;8;101,61919999999999;106,68;True
20.08.2025;9;239,6112;102,57;True
20.08.2025;10;369,9984;79,14;True
20.08.2025;11;465,6112;63,48;True
20.08.2025;12;487,1024;46,01;True
20.08.2025;13;486,6288;47,14;True
20.08.2025;14;394,3088;35,0;True
20.08.2025;15;392,328;40,92;True
20.08.2025;16;249,03199999999998;68,04;True
20.08.2025;17;159,68640000000002;75,58;True
20.08.2025;18;83,5808;100,85;True
20.08.2025;19;41,2144;115,04;True
20.08.2025;20;11,64;131,19;True
20.08.2025;21;0,0;131,1;True
20.08.2025;22;0,0;117,57;True
20.08.2025;23;0,0;109,71;True
20.08.2025;24;0,0;100,5;True
21.08.2025;1;0,0;92,91;True
21.08.2025;2;0,0;82,37;True
21.08.2025;3;0,0;82,39;True
21.08.2025;4;0,0;84,56;True
21.08.2025;5;0,0;85,22;True
21.08.2025;6;0,0;99,21;True
21.08.2025;7;6,1888000000000005;107,36;True
21.08.2025;8;31,8224;107,95;True
21.08.2025;9;41,632000000000005;102,21;True
21.08.2025;10;56,432;102,31;True
21.08.2025;11;71,2784;92,03;True
21.08.2025;12;152,62720000000002;84,14;True
21.08.2025;13;374,7952;75,55;True
21.08.2025;14;177,2208;70,92;True
21.08.2025;15;129,8256;78,28;True
21.08.2025;16;112,6448;85,27;True
21.08.2025;17;155,21599999999998;96,36;True
21.08.2025;18;106,83680000000001;108,74;True
21.08.2025;19;49,8288;113,69;True
21.08.2025;20;7,651199999999999;128,9;True
21.08.2025;21;0,0;134,21;True
21.08.2025;22;0,0;117,86;True
21.08.2025;23;0,0;99,77;True
21.08.2025;24;0,0;90,13;True
22.08.2025;1;0,0;86,28;True
22.08.2025;2;0,0;78,05;True
22.08.2025;3;0,0;74,55;True
22.08.2025;4;0,0;72,72;True
22.08.2025;5;0,0;71,42;True
22.08.2025;6;0,0;81,78;True
22.08.2025;7;12,5168;101,66;True
22.08.2025;8;38,644800000000004;102,94;True
22.08.2025;9;49,076800000000006;92,58;True
22.08.2025;10;79,8064;79,13;True
22.08.2025;11;166,40159999999997;62,44;True
22.08.2025;12;419,312;41,19;True
22.08.2025;13;458,1024;16,81;True
22.08.2025;14;475,9104;5,91;True
22.08.2025;15;341,1392;2,2;True
22.08.2025;16;357,984;6,37;True
22.08.2025;17;357,168;46,31;True
22.08.2025;18;169,6736;71,26;True
22.08.2025;19;65,8976;92,02;True
22.08.2025;20;7,8191999999999995;102,94;True
22.08.2025;21;0,0;112,17;True
22.08.2025;22;0,0;107,21;True
22.08.2025;23;0,0;102,87;True
22.08.2025;24;0,0;94,37;True
23.08.2025;1;0,0;95,33;True
23.08.2025;2;0,0;89,32;True
23.08.2025;3;0,0;86,83;True
23.08.2025;4;0,0;84,25;True
23.08.2025;5;0,0;84,26;True
23.08.2025;6;0,0;84,71;True
23.08.2025;7;15,224;86,31;True
23.08.2025;8;79,50720000000001;86,72;True
23.08.2025;9;135,6288;82,77;True
23.08.2025;10;356,05920000000003;52,01;True
23.08.2025;11;438,6128;12,64;True
23.08.2025;12;438,4672;3,35;True
23.08.2025;13;276,1216;1,38;True
23.08.2025;14;52,9728;0,12;True
23.08.2025;15;224,6896;0,44;True
23.08.2025;16;398,0208;3,52;True
23.08.2025;17;201,768;14,91;True
23.08.2025;18;43,2016;87,89;True
23.08.2025;19;9,352;110,75;True
23.08.2025;20;1,6928;120,34;True
23.08.2025;21;0,0;132,47;True
23.08.2025;22;0,0;119,97;True
23.08.2025;23;0,0;111,16;True
23.08.2025;24;0,0;105,89;True
24.08.2025;1;0,0;100,5;True
24.08.2025;2;0,0;95,11;True
24.08.2025;3;0,0;93,6;True
24.08.2025;4;0,0;91,16;True
24.08.2025;5;0,0;90,07;True
24.08.2025;6;0,0;90,31;True
24.08.2025;7;13,5616;90,0;True
24.08.2025;8;106,4496;84,62;True
24.08.2025;9;265,8576;45,63;True
24.08.2025;10;408,17920000000004;2,14;True
24.08.2025;11;481,0256;-0,01;False
24.08.2025;12;474,6544;-0,07;False
24.08.2025;13;449,13120000000004;-1,98;False
24.08.2025;14;412,74879999999996;-7,45;False
24.08.2025;15;390,9968;-7,4;False
24.08.2025;16;326,4816;-0,1;False
24.08.2025;17;307,25280000000004;0,0;True
24.08.2025;18;139,1616;69,03;True
24.08.2025;19;57,12;102,9;True
24.08.2025;20;10,718399999999999;110,19;True
24.08.2025;21;0,0;117,18;True
24.08.2025;22;0,0;114,32;True
24.08.2025;23;0,0;107,5;True
24.08.2025;24;0,0;100,52;True
25.08.2025;1;0,0;95,28;True
25.08.2025;2;0,0;87,03;True
25.08.2025;3;0,0;82,47;True
25.08.2025;4;0,0;79,42;True
25.08.2025;5;0,0;80,32;True
25.08.2025;6;0,0;99,35;True
25.08.2025;7;12,288;111,75;True
25.08.2025;8;103,2176;120,82;True
25.08.2025;9;253,752;107,7;True
25.08.2025;10;388,8224;91,97;True
25.08.2025;11;477,6272;68,02;True
25.08.2025;12;487,36;35,02;True
25.08.2025;13;487,30240000000003;10,0;True
25.08.2025;14;435,264;5,93;True
25.08.2025;15;385,1456;6,78;True
25.08.2025;16;444,63519999999994;25,2;True
25.08.2025;17;363,352;68,99;True
25.08.2025;18;177,9664;89,98;True
25.08.2025;19;70,16799999999999;112,39;True
25.08.2025;20;5,1776;152,21;True
25.08.2025;21;0,0;214,91;True
25.08.2025;22;0,0;136,17;True
25.08.2025;23;0,0;115,04;True
25.08.2025;24;0,0;105,15;True
26.08.2025;1;0,0;104,3;True
26.08.2025;2;0,0;101,92;True
26.08.2025;3;0,0;99,54;True
26.08.2025;4;0,0;98,28;True
26.08.2025;5;0,0;100,62;True
26.08.2025;6;0,0;101,03;True
26.08.2025;7;10,044799999999999;118,67;True
26.08.2025;8;98,528;119,75;True
26.08.2025;9;250,0224;105,73;True
26.08.2025;10;385,3088;90,0;True
26.08.2025;11;475,5264;57,88;True
26.08.2025;12;485,89279999999997;46,95;True
26.08.2025;13;486,6992;31,11;True
26.08.2025;14;486,5616;26,28;True
26.08.2025;15;487,1248;38,05;True
26.08.2025;16;438,592;74,24;True
26.08.2025;17;337,88000000000005;91,24;True
26.08.2025;18;190,9376;112,57;True
26.08.2025;19;55,7856;130,62;True
26.08.2025;20;5,4064000000000005;182,73;True
26.08.2025;21;0,0;179,52;True
26.08.2025;22;0,0;125,18;True
26.08.2025;23;0,0;109,72;True
26.08.2025;24;0,0;99,58;True
27.08.2025;1;0,0;99,16;True
27.08.2025;2;0,0;90,25;True
27.08.2025;3;0,0;86,79;True
27.08.2025;4;0,0;88,61;True
27.08.2025;5;0,0;92,01;True
27.08.2025;6;0,0;99,92;True
27.08.2025;7;10,7472;109,62;True
27.08.2025;8;97,2672;115,37;True
27.08.2025;9;243,64;113,64;True
27.08.2025;10;376,1776;101,63;True
27.08.2025;11;475,11839999999995;68,86;True
27.08.2025;12;486,9696;59,57;True
27.08.2025;13;487,08959999999996;53,94;True
27.08.2025;14;482,81759999999997;39,09;True
27.08.2025;15;486,15840000000003;46,92;True
27.08.2025;16;433,5168;78,09;True
27.08.2025;17;318,93600000000004;87,38;True
27.08.2025;18;178,4624;107,8;True
27.08.2025;19;41,8592;129,67;True
27.08.2025;20;4,3696;203,91;True
27.08.2025;21;0,0;204,83;True
27.08.2025;22;0,0;126,2;True
27.08.2025;23;0,0;113,63;True
27.08.2025;24;0,0;103,57;True
28.08.2025;1;0,0;97,15;True
28.08.2025;2;0,0;92,14;True
28.08.2025;3;0,0;88,11;True
28.08.2025;4;0,0;88,7;True
28.08.2025;5;0,0;92,69;True
28.08.2025;6;0,0;96,57;True
28.08.2025;7;7,8656;116,67;True
28.08.2025;8;33,704;120,32;True
28.08.2025;9;130,1216;98,39;True
28.08.2025;10;287,67199999999997;27,4;True
28.08.2025;11;428,056;12,84;True
28.08.2025;12;486,1872;0,31;True
28.08.2025;13;457,45120000000003;0,13;True
28.08.2025;14;487,0768;0,11;True
28.08.2025;15;480,1312;16,16;True
28.08.2025;16;418,1216;38,2;True
28.08.2025;17;299,7872;89,59;True
28.08.2025;18;158,008;113,74;True
28.08.2025;19;49,6976;142,78;True
28.08.2025;20;2,9088;165,75;True
28.08.2025;21;0,0;143,24;True
28.08.2025;22;0,0;119,72;True
28.08.2025;23;0,0;105,43;True
28.08.2025;24;0,0;90,95;True
29.08.2025;1;0,0;85,33;True
29.08.2025;2;0,0;87,26;True
29.08.2025;3;0,0;86,95;True
29.08.2025;4;0,0;88,26;True
29.08.2025;5;0,0;90,81;True
29.08.2025;6;0,0;99,3;True
29.08.2025;7;11,4704;106,49;True
29.08.2025;8;76,152;109,36;True
29.08.2025;9;210,27999999999997;109,96;True
29.08.2025;10;358,6592;93,78;True
29.08.2025;11;411,8224;80,01;True
29.08.2025;12;486,6864;58,98;True
29.08.2025;13;483,39520000000005;48,44;True
29.08.2025;14;434,98240000000004;48,01;True
29.08.2025;15;428,16319999999996;59,5;True
29.08.2025;16;86,2016;83,19;True
29.08.2025;17;38,446400000000004;94,62;True
29.08.2025;18;7,7872;116,04;True
