Mjerno mjesto	Datum	Vrijeme	OBIS	Brojilo	Konstanta	Vrijednost snaga	Vrijednost energija	Status
 0497330635	01.08.2025	20:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	21:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	21:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	21:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	21:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	22:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	22:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	22:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	22:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	23:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	23:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	23:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	23:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	0:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	0:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	0:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	0:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	1:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	1:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	1:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	1:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	2:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	2:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	2:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	2:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	3:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	3:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	3:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	3:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	4:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	4:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	4:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	4:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	5:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	5:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	5:30:00	LP: A-_T0	69051391	160	0	0	0
