Sat	Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned					
	8/1/2025		8/2/2025		8/3/2025		8/4/2025		8/5/2025		8/6/2025		8/7/2025		8/8/2025		8/9/2025		8/10/2025		8/11/2025		8/12/2025		8/13/2025		8/14/2025		8/15/2025		8/16/2025		8/17/2025		8/18/2025		8/19/2025		8/20/2025		8/21/2025		8/22/2025		8/23/2025		8/24/2025		8/25/2025		8/26/2025		8/27/2025		8/28/2025		8/29/2025		8/30/2025		8/31/2025					
	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen				
	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]				
19	120.71	"1,142.40"	96.19	"1,560.50"	86.42	"1,199.40"	118.6	"1,186.50"	110.84	"1,335.80"	102.65	"1,286.00"	110.95	936.9	121.04	"1,425.60"	118.32	"1,848.50"	90.64	"1,795.60"	139.99	"1,270.20"	147.18	"1,176.80"	131.81	"1,389.80"	147.71	"1,244.40"	104.6	"1,854.40"	102.86	"2,038.40"	94.6	"1,696.80"	115.59	"1,045.30"	125.28	"1,018.40"	115.04	"1,396.50"	113.69	"1,268.60"	92.02	"1,311.30"	110.75	"1,392.90"	102.9	"1,093.00"	112.39	"1,061.70"	130.62	"1,010.90"	129.67	"1,061.30"	142.78	"1,017.90"	121.92	"1,537.30"	129.93	"1,250.50"	112.68	786.8				
20	133.95	"1,193.10"	115.38	"1,456.30"	94.72	"1,161.40"	149.52	"1,026.40"	147.2	"1,236.90"	132.25	"1,038.20"	142.64	"1,034.70"	204.64	959.1	136.8	"1,589.90"	120.99	"1,700.10"	208.81	"1,242.40"	269.94	"1,215.90"	261.79	"1,421.10"	257.69	"1,349.50"	121.89	"1,747.20"	130.54	"1,916.20"	109.58	"1,628.90"	178.47	"1,023.50"	182.02	"1,047.50"	131.19	"1,350.90"	128.9	"1,251.10"	102.94	"1,433.70"	120.34	"1,575.80"	110.19	"1,229.40"	152.21	973.3	182.73	933.5	203.91	"1,001.10"	165.75	923.3	146.59	"1,452.10"	130.49	"1,190.10"	128.27	856.3				
21	153.4	"1,325.10"	138.39	"1,463.60"	121.79	"1,228.50"	164.97	"1,059.50"	178.23	"1,358.30"	177.87	"1,007.50"	176	842	250.17	"1,079.60"	162.91	"1,684.30"	150.49	"1,812.50"	243.91	"1,275.80"	305.13	"1,244.40"	280.07	"1,458.40"	280.4	"1,393.30"	136.51	"1,920.90"	139.22	"2,001.80"	112.48	"1,741.90"	205.71	"1,234.60"	166.56	"1,320.80"	131.1	"1,699.80"	134.21	"1,387.70"	112.17	"1,528.00"	132.47	"1,714.20"	117.18	"1,457.70"	214.91	"1,241.90"	179.52	"1,128.00"	204.83	"1,085.20"	143.24	933.7	140.88	"1,499.10"	125.26	"1,518.20"	126.44	"1,107.60"				
22	152.02	"1,338.30"	124.47	"1,474.90"	110.54	"1,325.10"	117.63	"1,190.60"	122.38	"1,393.00"	156.07	963.6	129.29	883.1	153.96	"1,105.30"	126.72	"1,853.90"	119.47	"1,869.00"	140.35	"1,050.60"	147.97	"1,191.00"	150.92	"1,344.30"	155.46	"1,173.50"	111.22	"1,842.60"	120.08	"1,863.10"	110.04	"1,627.60"	124.87	929.7	115.25	"1,327.60"	117.57	"1,584.90"	117.86	"1,343.30"	107.21	"1,312.50"	119.97	"1,427.80"	114.32	"1,306.90"	136.17	"1,137.80"	125.18	"1,283.20"	126.2	890.2	119.72	950.3	116.28	"1,155.20"	111.6	"1,354.00"	110.99	"1,031.80"				
23	129.18	"1,265.30"	110.86	"1,409.30"	105.08	"1,299.90"	99.52	"1,235.90"	107.74	"1,418.30"	110	"1,225.10"	110	903.7	125.31	"1,347.90"	112.9	"1,745.80"	106.59	"1,607.10"	108.87	"1,028.80"	114.51	"1,247.70"	123.21	"1,229.60"	121.7	"1,100.70"	105.7	"1,676.90"	99.09	"1,719.10"	104.78	"1,331.90"	106.55	"1,140.30"	104.4	"1,322.00"	109.71	"1,378.10"	99.77	"1,223.00"	102.87	"1,153.70"	111.16	"1,202.10"	107.5	"1,339.20"	115.04	"1,245.30"	109.72	"1,208.60"	113.63	"1,064.80"	105.43	934.4	100.63	"1,196.40"	98.22	"1,195.50"	100.01	"1,095.30"				
24	111.07	"1,048.70"	94.23	"1,265.60"	85.09	"1,061.10"	78.87	"1,145.20"	85.18	"1,356.30"	101.14	"1,214.60"	101.28	755.7	108.45	"1,227.10"	95	"1,378.60"	97.96	"1,379.80"	96	846.4	98.2	"1,075.90"	106.27	"1,054.30"	105.95	909.5	95.71	"1,492.40"	89.66	"1,706.40"	101.82	"1,185.00"	99	"1,043.00"	97.96	"1,043.30"	100.5	"1,231.40"	90.13	"1,205.30"	94.37	"1,184.90"	105.89	"1,201.70"	100.52	"1,243.20"	105.15	"1,160.10"	99.58	"1,090.30"	103.57	914.7	90.95	807.9	90.47	"1,046.90"	84.13	"1,246.70"	88.75	"1,110.70"				
																																																																		
																																																																		
NAPOMENA:																																																																		
Sat: 1 - znaèi vrijeme od 0.00 do 1.00 sati																																																																		
Sat: 24 - znaèi vrijeme od 23.00 do 24.00 sati																																																																		
																																																																		
